acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,valence,year
0.123,0.939,240973,0.462,1,0.00251,8,0.111,-5.635,1,40,0.0507,102.173,0.374,2001
0.0732,0.761,319760,0.426,1,0,8,0.133,-8.124,0,45,0.356,92.448,0.569,2001
0.224,0.487,229333,0.774,0,0,11,0.145,-5.096,1,52,0.0487,80.928,0.415,2001
0.0513,0.613,241533,0.877,0,0.283,7,0.346,-6.213,0,41,0.0617,131.205,0.232,2001
0.018,0.508,205067,0.826,0,0,1,0.28,-4.088,0,64,0.0405,120.854,0.404,2001
0.922,0.522,293693,0.12,0,0,2,0.11,-11.9,1,41,0.036,154.357,0.237,2001
0.0236,0.913,268293,0.644,0,0,1,0.0753,-7.332,1,42,0.308,97.745,0.543,2001
0.277,0.672,292787,0.5,0,0,8,0.0954,-9.866,1,57,0.0322,95.758,0.201,2001
0.531,0.503,274480,0.59,0,0.000383,4,0.168,-5.086,1,45,0.0316,174.952,0.624,2001
0.0285,0.822,233627,0.672,0,0,7,0.213,-6.133,1,61,0.0329,117.033,0.91,2001
0.00257,0.515,230000,0.963,1,0.0227,10,0.14,-2.931,0,40,0.17,108.336,0.377,2001
0.246,0.606,266600,0.913,0,0.00696,8,0.34,-6.039,0,65,0.0351,123.58,0.838,2001
0.00746,0.792,263200,0.454,0,1.60E-05,5,0.256,-6.098,1,41,0.0607,108.415,0.0599,2001
0.99,0.282,277133,0.152,0,0.905,2,0.0676,-20.094,1,49,0.0349,84.109,0.051,2001
0.361,0.705,259067,0.418,0,6.86E-06,0,0.0919,-8.963,1,51,0.0298,132.023,0.153,2001
0.0611,0.685,237333,0.957,0,0.00025,11,0.317,-8.214,1,46,0.0445,127.27,0.809,2001
0.434,0.63,328760,0.855,0,0.000607,10,0.109,-5.544,0,58,0.0345,90.638,0.57,2001
0.0245,0.9,206960,0.693,0,0.00278,11,0.04,-3.989,0,49,0.0751,107.021,0.864,2001
0.131,0.347,271667,0.67,0,0,0,0.271,-6.422,1,48,0.0479,140.588,0.189,2001
0.0894,0.785,261333,0.516,0,0.000419,5,0.0682,-15.009,1,43,0.085,92.569,0.681,2001
0.0264,0.823,210400,0.7,0,0,0,0.0531,-5.042,0,47,0.035,108.019,0.75,2001
0.0777,0.782,146400,0.668,0,0,0,0.297,-6.156,1,60,0.0387,123.981,0.766,2001
0.713,0.639,445533,0.496,0,0.254,1,0.0545,-6.844,0,41,0.0375,140.394,0.467,2001
0.414,0.803,198027,0.827,0,0,7,0.116,-5.983,1,43,0.085,116.338,0.88,2002
0.000181,0.418,219627,0.925,0,0,5,0.107,-5.293,0,45,0.0696,174.756,0.569,2002
0.00362,0.531,179067,0.95,0,0,5,0.378,-3.926,1,46,0.0486,96.925,0.525,2002
0.000306,0.537,249667,0.887,0,0.0508,11,0.0621,-6.697,0,41,0.0575,93.924,0.281,2002
0.053,0.655,236733,0.837,0,0.0137,5,0.104,-7.984,1,46,0.0264,141.68,0.928,2002
0.964,0.106,225667,0.181,0,0.853,2,0.407,-17.969,1,48,0.0342,61.02,0.0593,2002
0.886,0.489,369173,0.365,0,8.06E-06,1,0.73,-14.716,0,44,0.101,80.018,0.649,2002
0.000249,0.269,299533,0.853,0,0.000246,7,0.118,-4.647,0,41,0.0854,141.581,0.179,2002
0.0203,0.74,232440,0.849,0,4.02E-06,10,0.346,-3.205,1,50,0.026,118.977,0.949,2002
0.647,0.679,204147,0.484,1,0,3,0.0795,-8.687,1,45,0.0473,97.264,0.776,2002
0.0186,0.571,229960,0.622,0,3.53E-06,2,0.119,-4.447,1,59,0.0245,142.05,0.231,2002
0.000401,0.278,132547,0.936,0,0,7,0.335,-5.986,1,45,0.107,119.088,0.34,2002
0.244,0.646,193453,0.478,0,7.33E-05,6,0.127,-7.516,1,56,0.0561,92.133,0.341,2002
0.114,0.489,156160,0.426,0,0.0504,9,0.117,-9.762,1,46,0.0393,81.354,0.521,2002
5.46E-05,0.175,253333,0.91,1,0.00028,2,0.105,-5.172,1,41,0.0893,78.59,0.427,2002
0.0162,0.682,363677,0.687,0,2.22E-05,9,0.714,-7.591,1,51,0.0451,120.022,0.48,2002
0.00856,0.565,311693,0.776,0,0.000136,4,0.111,-4.161,0,49,0.0282,104.346,0.326,2002
0.794,0.144,229440,0.074,0,0.722,4,0.105,-21.754,0,49,0.0363,139.327,0.0346,2002
0.2,0.872,151333,0.682,0,6.16E-05,7,0.0311,-11.268,1,48,0.152,108.075,0.961,2002
0.0313,0.626,198200,0.8,0,0,9,0.0587,-5.085,0,46,0.0611,145.839,0.737,2002
0.584,0.225,510187,0.306,0,0.859,2,0.106,-16.153,0,45,0.0398,92.732,0.0537,2002
0.71,0.67,206117,0.397,0,0,8,0.11,-10.87,1,55,0.0417,123.969,0.214,2002
0.239,0.84,243667,0.699,0,8.41E-06,6,0.127,-6.077,0,48,0.0625,111.053,0.968,2002
0.00659,0.601,141427,0.913,0,0.0125,1,0.0713,-4.681,0,49,0.134,115.348,0.91,2002
0.00108,0.356,180027,0.914,0,0,6,0.139,-5.698,1,44,0.0689,136.104,0.149,2002
0.038,0.548,249427,0.8,0,0.00255,9,0.0678,-6.926,1,58,0.0597,159.654,0.805,2002
0.0549,0.749,239440,0.531,0,0,7,0.237,-6.636,1,47,0.0324,97.022,0.317,2002
0.092,0.713,270747,0.517,1,5.90E-06,7,0.134,-5.403,1,42,0.237,80.986,0.267,2002
0.0475,0.647,250172,0.885,0,2.16E-05,1,0.0825,-5.052,0,41,0.0529,102.348,0.928,2002
0.0191,0.294,158440,0.972,0,0.058,11,0.597,-5.108,1,45,0.0947,176.924,0.373,2002
0.0602,0.789,217365,0.753,0,0,5,0.164,-7.866,0,52,0.0554,136.024,0.923,2002
0.16,0.884,133760,0.413,0,2.52E-06,1,0.0592,-15.391,1,49,0.179,105.391,0.965,2002
0.46,0.845,241059,0.374,0,0,5,0.0833,-13.413,1,41,0.0653,115.036,0.961,2002
1.33E-05,0.406,46333,0.96,0,0.87,0,0.182,-3.612,1,48,0.115,188.74,0.727,2002
0.725,0.605,213587,0.39,0,0.00202,9,0.109,-10.673,1,47,0.028,95.957,0.229,2002
0.0364,0.784,312027,0.697,1,0,1,0.827,-5.302,1,42,0.36,80.029,0.375,2002
0.988,0.116,255960,0.0011,0,0.227,2,0.0991,-39.982,1,47,0.0544,70.332,0.0387,2002
0.00696,0.58,252307,0.982,0,4.82E-06,4,0.165,-3.428,0,40,0.0729,98.189,0.51,2002
0.431,0.721,167667,0.613,0,0.000565,9,0.205,-9.26,1,46,0.0302,98.477,0.812,2002
0.509,0.596,211853,0.421,0,0,9,0.132,-8.74,0,43,0.031,86.925,0.466,2002
0.54,0.663,257541,0.599,0,0.0444,4,0.0914,-6.808,0,54,0.0258,123.988,0.239,2002
0.159,0.93,244133,0.635,0,8.85E-06,1,0.063,-6.045,1,44,0.0369,120.088,0.814,2002
0.074,0.863,185640,0.68,0,2.79E-05,8,0.0847,-8.419,1,47,0.107,113.138,0.966,2002
0.0984,0.626,244827,0.68,0,0.00116,0,0.329,-6.834,1,47,0.0231,97.216,0.456,2002
0.235,0.544,271800,0.443,0,0.000225,7,0.0394,-8.995,1,42,0.0341,168.526,0.296,2002
0.46,0.616,220855,0.724,0,8.85E-06,9,0.388,-6.248,1,44,0.0284,123.996,0.713,2002
0.0398,0.741,222040,0.575,0,0.127,10,0.0853,-5.416,0,47,0.0555,93.992,0.345,2002
0.000551,0.27,236867,0.734,0,0,2,0.0767,-5.795,0,44,0.0436,160.863,0.208,2002
0.000156,0.605,261680,0.998,1,0.784,1,0.217,-3.818,0,44,0.0843,106.815,0.0618,2002
0.00109,0.501,467627,0.859,0,0.0837,1,0.0646,-5.799,0,50,0.0464,89.03,0.223,2002
0.000382,0.411,169760,0.837,0,0,1,0.434,-5.41,1,41,0.0429,100.032,0.289,2002
2.23E-05,0.265,193533,0.957,1,0.0291,11,0.105,-3.415,1,47,0.0995,151.61,0.396,2002
0.073,0.7,217427,0.967,0,0,8,0.333,-3.462,0,60,0.0463,136.045,0.962,2002
0.0376,0.556,277973,0.774,0,0.00315,3,0.0538,-6.342,0,40,0.0419,103.188,0.614,2002
0.171,0.656,255747,0.792,0,0.0016,2,0.0357,-6.65,1,42,0.039,119.791,0.885,2002
0.658,0.503,254052,0.242,0,2.07E-06,0,0.36,-8.743,1,44,0.028,75.943,0.333,2002
